,precision,recall,f1-score,support
a,0.5,1.0,0.6666666666666666,1.0
ay,0.0,0.0,0.0,1.0
b,0.0,0.0,0.0,1.0
c,0.0,0.0,0.0,1.0
ch,0.0,0.0,0.0,1.0
d,0.0,0.0,0.0,1.0
e,0.0,0.0,0.0,1.0
ee,0.0,0.0,0.0,1.0
f,0.0,0.0,0.0,1.0
g,0.0,0.0,0.0,1.0
h,0.5,1.0,0.6666666666666666,1.0
i,0.0,0.0,0.0,1.0
igh,0.0,0.0,0.0,1.0
j,0.0,0.0,0.0,1.0
k,0.0,0.0,0.0,1.0
l,0.07142857142857142,1.0,0.13333333333333333,1.0
m,0.0,0.0,0.0,1.0
n,0.07142857142857142,1.0,0.13333333333333333,1.0
ng,0.0,0.0,0.0,1.0
o,0.0,0.0,0.0,1.0
oh,0.0,0.0,0.0,1.0
oo,0.0,0.0,0.0,1.0
p,0.0,0.0,0.0,1.0
r,0.0,0.0,0.0,1.0
s,0.0,0.0,0.0,1.0
sh,0.0,0.0,0.0,1.0
t,0.0,0.0,0.0,1.0
th,0.0,0.0,0.0,1.0
u,0.0,0.0,0.0,1.0
v,0.0,0.0,0.0,1.0
w,0.0,0.0,0.0,1.0
y,0.0,0.0,0.0,1.0
z,0.0,0.0,0.0,1.0
accuracy,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122
macro avg,0.03463203463203463,0.12121212121212122,0.04848484848484848,33.0
weighted avg,0.03463203463203463,0.12121212121212122,0.04848484848484848,33.0
